code,description,system
SNOMEDCT_US-157962004,Accidentally struck by falling object,SNOMEDCT_US
SNOMEDCT_US-278690004,Procedure for arteriovenous disorder,SNOMEDCT_US
SNOMEDCT_US-157908003,Fire in open area,SNOMEDCT_US
SNOMEDCT_US-73592002,Salmonella III arizonae 65:(k):z35,SNOMEDCT_US
ICD10PCS-07NK0ZZ,"Release Thoracic Duct, Open Approach",ICD10PCS
ICD10PCS-B31RYZ,Imaging @ Upper Arteries @ Fluoroscopy @ Intracranial Arteries @ Other Contrast @ None,ICD10PCS
SNOMEDCT_US-134604002,Nateglinide product,SNOMEDCT_US
SNOMEDCT_US-699668009,Secondary nonischemic congestive cardiomyopathy,SNOMEDCT_US
SNOMEDCT_US-414260005,First outpatient appointment date,SNOMEDCT_US
SNOMEDCT_US-33070002,Problem with care of sick person,SNOMEDCT_US
ICD10PCS-0LR80J,"Medical and Surgical @ Tendons @ Replacement @ Hand Tendon, Left @ Open @ Synthetic Substitute",ICD10PCS
SNOMEDCT_US-236586006,De novo glomerulonephritis,SNOMEDCT_US
SNOMEDCT_US-248954000,Discharge from Bartholin's gland,SNOMEDCT_US
SNOMEDCT_US-449356000,Injection of growth factor,SNOMEDCT_US
ICD10PCS-0L5F,"Medical and Surgical @ Tendons @ Destruction @ Abdomen Tendon, Right",ICD10PCS
ICD10CM-M24.275,"Disorder of ligament, left foot",ICD10CM
ICD10PCS-0KR24JZ,"Replacement of Right Neck Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10PCS
ICD10PCS-0VTF4ZZ,"Resection of Right Spermatic Cord, Percutaneous Endoscopic Approach",ICD10PCS
SNOMEDCT_US-296793009,Intentional rifampin overdose,SNOMEDCT_US
ICD10PCS-0JPS0N,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Removal @ Subcutaneous Tissue and Fascia, Head and Neck @ Open @ Tissue Expander",ICD10PCS
ICD10CM-S75.192S,"Other specified injury of femoral vein at hip and thigh level, left leg, sequela",ICD10CM
SNOMEDCT_US-431661005,Percutaneous mechanical thrombectomy of superior vena cava using fluoroscopic guidance,SNOMEDCT_US
SNOMEDCT_US-46537009,Melianthus major,SNOMEDCT_US
SNOMEDCT_US-137446006,Pipe fitter,SNOMEDCT_US
SNOMEDCT_US-406964001,Mucicarmine stain,SNOMEDCT_US
ICD10PCS-05NF0Z,"Medical and Surgical @ Upper Veins @ Release @ Cephalic Vein, Left @ Open @ No Device",ICD10PCS
ICD10PCS-0FQ44,Medical and Surgical @ Hepatobiliary System and Pancreas @ Repair @ Gallbladder @ Percutaneous Endoscopic,ICD10PCS
SNOMEDCT_US-430618002,Domestic partnership,SNOMEDCT_US
SNOMEDCT_US-7226007,Infection-associated purpura,SNOMEDCT_US
SNOMEDCT_US-168087009,Amniotic fluid - abnormality,SNOMEDCT_US
ICD10PCS-03UR0J,Medical and Surgical @ Upper Arteries @ Supplement @ Face Artery @ Open @ Synthetic Substitute,ICD10PCS
SNOMEDCT_US-767918000,Diethylpropion in oral dosage form,SNOMEDCT_US
SNOMEDCT_US-454061000124102,Unable to afford medication,SNOMEDCT_US
SNOMEDCT_US-29200001000004107,History of endometriosis,SNOMEDCT_US
ICD10PCS-05793Z,"Medical and Surgical @ Upper Veins @ Dilation @ Brachial Vein, Right @ Percutaneous @ No Device",ICD10PCS
SNOMEDCT_US-73903008,Bone structure of lumbar vertebra,SNOMEDCT_US
ICD10PCS-0GWRX0,Medical and Surgical @ Endocrine System @ Revision @ Parathyroid Gland @ External @ Drainage Device,ICD10PCS
ICD10PCS-F02,Physical Rehabilitation and Diagnostic Audiology @ Rehabilitation @ Activities of Daily Living Assessment,ICD10PCS
ICD10CM-S96.009S,"Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot, sequela",ICD10CM
ICD10PCS-2W3TXYZ,Immobilization of Left Foot using Other Device,ICD10PCS
SNOMEDCT_US-115326008,"Human papillomavirus, type 16",SNOMEDCT_US
SNOMEDCT_US-219116001,Suicide and self inflicted injury by barbiturates,SNOMEDCT_US
ICD10PCS-0QHM45,"Medical and Surgical @ Lower Bones @ Insertion @ Tarsal, Left @ Percutaneous Endoscopic @ External Fixation Device",ICD10PCS
SNOMEDCT_US-364377005,Appearance of nipple,SNOMEDCT_US
ICD10CM-S42.135K,"Nondisplaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with nonunion",ICD10CM
SNOMEDCT_US-128214000,Infectious disorder of the peripheral nervous system,SNOMEDCT_US
ICD10PCS-0P933Z,Medical and Surgical @ Upper Bones @ Drainage @ Cervical Vertebra @ Percutaneous @ No Device,ICD10PCS
SNOMEDCT_US-77700001,Neisseria subflava,SNOMEDCT_US
SNOMEDCT_US-360524005,Abdominal aorta and its branches,SNOMEDCT_US
